啊秦磊楷飞摸,惯积岿,荤绊扒荐,荤噶磊荐,吝惑磊荐,版惑磊荐,何惑脚绊磊荐
20技捞窍,1,363,4,95,368,46
20技捞窍,2,422,11,100,415,74
20技捞窍,3,570,1,136,578,102
20技捞窍,4,683,11,184,674,109
20技捞窍,5,669,6,228,631,107
20技捞窍,6,666,7,160,621,108
20技捞窍,7,687,9,188,733,103
20技捞窍,8,648,5,195,642,111
20技捞窍,9,632,8,175,609,103
20技捞窍,10,619,11,169,611,73
20技捞窍,11,534,7,162,499,64
20技捞窍,12,467,5,111,467,75
21-30技,1,2185,26,575,2468,214
21-30技,2,2094,20,571,2322,191
21-30技,3,2355,23,635,2649,206
21-30技,4,2497,27,718,2758,229
21-30技,5,2506,33,695,2843,234
21-30技,6,2542,32,711,2839,242
21-30技,7,2597,27,661,2875,265
21-30技,8,2451,39,660,2775,225
21-30技,9,2361,33,587,2671,221
21-30技,10,2549,37,663,2865,212
21-30技,11,2445,34,637,2693,222
21-30技,12,2494,29,634,2702,221
31-40技,1,2461,20,657,2705,188
31-40技,2,2218,23,571,2584,196
31-40技,3,2466,21,706,2707,227
31-40技,4,2555,34,744,2859,204
31-40技,5,2626,31,732,2837,220
31-40技,6,2649,25,736,2904,226
31-40技,7,2651,23,706,2929,205
31-40技,8,2388,36,600,2646,194
31-40技,9,2402,33,649,2707,202
31-40技,10,2664,40,705,3014,205
31-40技,11,2667,33,712,2878,234
31-40技,12,2557,31,621,2854,212
41-50技,1,2780,37,759,2996,191
41-50技,2,2630,34,763,2909,165
41-50技,3,2883,39,829,3113,213
41-50技,4,3214,31,870,3556,239
41-50技,5,3159,38,834,3537,245
41-50技,6,3103,44,882,3310,221
41-50技,7,3236,55,926,3533,241
41-50技,8,2888,40,791,3183,231
41-50技,9,2978,36,832,3229,204
41-50技,10,3305,50,904,3590,243
41-50技,11,3199,42,916,3384,267
41-50技,12,3105,48,798,3437,251
51-60技,1,3537,51,995,3858,217
51-60技,2,3411,50,996,3822,241
51-60技,3,3979,46,1098,4384,272
51-60技,4,4096,56,1197,4362,232
51-60技,5,3899,52,1060,4272,271
51-60技,6,4021,39,1169,4385,251
51-60技,7,4132,45,1105,4498,317
51-60技,8,3744,45,1039,4114,277
51-60技,9,3939,53,1121,4130,257
51-60技,10,4099,62,1162,4441,300
51-60技,11,4252,72,1197,4602,307
51-60技,12,3829,68,1002,3999,318
61-64技,1,1291,19,361,1413,68
61-64技,2,1320,16,357,1446,97
61-64技,3,1525,25,397,1677,101
61-64技,4,1501,13,446,1645,92
61-64技,5,1616,27,412,1859,100
61-64技,6,1590,11,490,1807,109
61-64技,7,1671,22,522,1819,73
61-64技,8,1481,28,419,1659,85
61-64技,9,1600,29,469,1695,117
61-64技,10,1668,32,473,1778,127
61-64技,11,1730,29,501,1871,120
61-64技,12,1585,27,404,1675,92
65技捞惑,1,2048,40,571,2155,155
65技捞惑,2,2180,49,649,2289,145
65技捞惑,3,2611,54,737,2759,170
65技捞惑,4,2622,40,795,2788,175
65技捞惑,5,2669,68,788,2755,209
65技捞惑,6,2754,69,831,2795,211
65技捞惑,7,2806,73,836,2917,184
65技捞惑,8,2586,54,783,2724,170
65技捞惑,9,2862,53,843,2978,200
65技捞惑,10,3117,80,887,3350,215
65技捞惑,11,2999,68,845,3057,243
65技捞惑,12,2587,61,689,2617,198
