,연도,구분,전체,소계(5년미만),1년 미만,1~2년,2~3년,3~4년,4~5년,5~10년,10년 이상,무면허
0,2005,건수,26460,8869.0,1735.0,1395.0,2100.0,1905.0,1734.0,6050.0,8521.0,3020.0
1,2005,비율,100,33.5,6.6,5.3,7.9,7.2,6.6,22.9,32.2,11.4
2,2006,건수,29990,10301.0,1993.0,1912.0,1663.0,1594.0,3139.0,6934.0,9402.0,3353.0
3,2006,비율,100,34.3,6.6,6.4,5.5,5.3,10.5,23.1,31.4,11.2
4,2007,건수,28416,8892.0,1695.0,1781.0,1622.0,1099.0,2695.0,7064.0,9103.0,3357.0
5,2007,비율,100,31.3,6.0,6.3,5.7,3.9,9.5,24.9,32.0,11.8
6,2008,건수,26873,7604.0,1653.0,1466.0,1490.0,1225.0,1770.0,7034.0,9130.0,3105.0
7,2008,비율,100,28.3,6.2,5.5,5.5,4.6,6.6,26.2,34.0,11.5
8,2009,건수,28207,7910.0,1862.0,1687.0,1358.0,1585.0,1413.0,7213.0,10329.0,2755.0
9,2009,비율,100,28.0,6.6,2.0,4.8,5.6,5.0,25.6,36.6,9.8
10,2010,건수,28641,7908.0,1772.0,1751.0,1548.0,1320.0,1517.0,7069.0,11095.0,2569.0
11,2010,비율,100,27.6,6.2,6.1,5.4,4.6,5.3,24.7,38.7,9.0
12,2011,건수,28461,7723.0,1662.0,1657.0,1539.0,1519.0,1346.0,6669.0,11528.0,2541.0
13,2011,비율,100,27.1,5.8,5.8,5.4,5.3,4.7,23.4,40.5,8.9
14,2012,건수,29093,8062.0,1919.0,1579.0,1547.0,1511.0,1506.0,6395.0,12227.0,2409.0
15,2012,비율,100,27.7,6.6,5.4,5.3,5.2,5.2,22.0,42.0,8.3
16,2013,건수,26589,7175.0,1474.0,1675.0,1391.0,1274.0,1361.0,5506.0,11787.0,2121.0
17,2013,비율,100,27.0,5.5,6.3,5.2,4.8,5.1,20.7,44.3,8.0
18,2014,건수,24043,6422.0,1223.0,1242.0,1483.0,1290.0,1184.0,4953.0,10695.0,1973.0
19,2014,비율,100,26.8,5.1,5.2,6.2,5.4,4.9,20.6,44.4,8.2
