연도,구분,전체,0.03%미만,0.030~0.049%,0.05%~0.09%,0.10%~0.14%,0.15%~0.19%,0.20%~0.24%,0.25%~0.29%,0.30%~0.34%,0.35%이상,측정불응,기타불명,측정불능,해당 없음
2010,발생건수,111159,0,284,4272,8833,6610,2037,358,59,16,428,1789,87,86386
2010,사망자수,2996,0,110,116,183,186,99,29,2,0,2,24,11,2234
2010,부상자수,173695,0,417,7588,15998,11973,3554,642,114,26,726,2119,138,130400
2011,발생건수,107530,0,276,4647,8844,6304,1791,311,53,16,439,2013,67,82769
2011,사망자수,2795,0,82,127,153,144,99,33,9,3,3,16,8,2118
2011,부상자수,166718,0,441,8244,16099,11261,3192,526,87,33,760,2322,96,123657
2012,발생건수,107127,0,0,4966,8969,6181,1863,349,64,21,411,84243,60,0
2012,사망자수,2805,0,0,202,162,130,72,34,7,4,3,2185,6,0
2012,부상자수,165925,0,0,8848,16218,11240,3343,590,110,31,706,124761,78,0
2013,발생건수,100285,0,0,4562,7956,5486,1861,337,51,20,370,79535,107,0
2013,사망자수,2702,0,0,146,144,140,85,22,6,2,2,2149,6,0
2013,부상자수,153429,0,0,8055,14191,10095,3286,575,88,25,656,116305,153,0
2014,발생건수,101280,0,0,4080,7266,4947,1497,328,57,28,260,82679,138,0
2014,사망자수,2446,0,0,128,123,101,67,24,8,2,4,1983,6,0
2014,부상자수,153432,0,0,7271,12887,8840,2655,574,95,45,443,120412,210,0
2015,발생건수,102986,0,0,4349,7519,4786,1440,266,50,17,284,84180,95,0
2015,사망자수,2369,0,0,128,123,90,57,11,7,1,1,1946,5,0
2015,부상자수,155287,0,0,7430,13222,8565,2444,446,71,24,479,122472,134,0
2016,발생건수,95109,0,0,3542,5952,3745,1249,253,32,19,197,79985,135,0
2016,사망자수,2157,0,0,105,96,83,54,21,3,1,3,1786,5,0
2016,부상자수,142577,0,0,6116,10339,6543,2107,407,54,26,308,116476,201,0
2017,발생건수,90766,173,331,3469,5587,3767,1205,248,52,15,235,24360,148,51176
2017,사망자수,2109,12,16,100,93,74,51,18,2,1,2,592,8,1140
2017,부상자수,135883,253,507,5849,9561,6559,2047,396,91,18,398,34338,219,75647
2018,발생건수,90197,766,324,3400,5613,3799,1184,228,41,13,286,23104,163,51276
2018,사망자수,1863,9,9,86,62,51,29,10,2,3,1,561,8,1032
2018,부상자수,133781,1115,514,5771,9527,6405,2028,375,64,15,498,32557,251,74661
2019,발생건수,91067,129,243,2032,5092,2896,887,194,28,13,238,24511,217,54587
2019,사망자수,1599,8,8,47,52,58,34,11,3,1,0,498,11,868
2019,부상자수,134686,189,350,3316,8383,4895,1467,327,40,17,374,34578,309,80441
2020,발생건수,83258,27,562,1672,6249,3150,853,146,19,9,371,6047,32,64121
2020,사망자수,1463,3,17,43,83,45,24,8,3,0,0,119,1,1117
2020,부상자수,121941,42,877,2647,10196,5271,1367,247,33,12,585,8018,49,92597
2021,발생건수,76458,6,490,1493,5493,2757,756,129,18,12,299,2222,6,62777
2021,사망자수,1310,0,6,40,59,41,13,3,0,1,3,56,1,1087
2021,부상자수,108989,12,750,2280,8694,4458,1220,201,33,15,514,2474,6,88332
