연도별/경과년수별,1년,2년,3년,4년,5년,6년,7년,8년,9년,10년,11년,12년,13년,14년,15년,16년,17년,18년,19년,20년,20년 초과
2011,1138057,879519,880578,854399,859004,803203,929717,915574,1069854,1405104,1282895,1249400,1089984,879118,644436,1104920,1258045,1211098,1196020,1252569,6347659
2012,1250826,1127536,870725,870964,843947,851095,796203,919796,903091,1058839,1394041,1274699,1241810,1083146,869643,639567,1099325,1251818,1203786,1187963,7524497
2013,834679,1239133,1115563,861097,860581,832680,842342,787689,903234,890629,1051356,1382148,1265968,1233432,1073665,859824,635332,1092112,1243694,1195137,8647745
2014,954339,825669,1228952,1105169,852649,851520,822934,834050,775584,890149,883936,1044885,1371957,1258333,1225158,1063647,853869,631182,1084824,1235751,9749688
2015,1013476,944620,816500,1218606,1094470,843943,842194,812425,817177,765280,881227,876842,1037935,1360105,1247697,1204088,1049609,843178,623727,1073136,10927386
2016,1171283,1004128,936599,809137,1209603,1085379,836768,8331815,796756,811817,759868,874395,871509,1032477,1349975,1229197,1199342,1043154,836865,620018,11772595
2017,744008,1163267,995737,929223,802160,1200805,1076884,829334,818098,790181,805892,754932,868188,866376,1026299,1329062,1224649,1192345,1036846,830906,12380201
2018,755228,738252,1156108,988250,922517,795646,1190730,1068699,815363,812416,783946,800717,750511,862569,860816,1010805,1321591,1218056,1185579,1030917,13092365
2019,791607,749790,733262,1149837,981651,915647,788445,1184446,1051479,809070,806308,778413,795960,746383,856670,851215,1006671,1313981,1209687,1178589,13950470
2020,827781,786210,743892,728016,1143281,974111,909462,783051,1177383,1044972,803279,801021,773066,791303,741978,850756,847034,1001981,1301634,1201955,14955399
