년도,구분,버스,고속버스,전세버스,마을버스,특수여객,개인택시,법인택시,일반화물,용달화물,개별화물
2014,서울특별시청,18,0,17,4,1,203,131,86,94,41
2014,부산광역시청,7,0,6,2,0,94,63,80,17,7
2014,대구광역시청,7,0,9,0,1,42,30,41,6,7
2014,인천광역시청,11,0,6,0,0,47,35,45,22,13
2014,광주광역시청,5,0,3,0,0,8,16,35,7,5
2014,대전광역시청,3,0,6,0,0,13,14,29,6,5
2014,울산광역시청,3,0,4,0,0,14,14,40,4,3
2014,세종특별자치시,0,0,0,0,0,0,1,5,0,0
2014,경기도청,37,2,49,7,1,93,61,193,72,95
2014,강원도청,7,0,4,1,0,11,16,10,11,9
2014,충청북도청,4,0,7,0,0,15,11,25,7,8
2014,충청남도청,6,0,3,0,2,21,16,31,9,14
2014,전라북도청,2,0,10,0,2,14,14,44,1,5
2014,전라남도청,9,0,7,0,0,14,11,61,9,8
2014,경상북도청,9,0,12,0,2,32,14,60,13,0
2014,경상남도청,10,0,12,1,2,28,25,56,24,18
2014,제주특별자치도청,6,0,12,0,0,15,6,6,2,0
2015,서울특별시청,28,1,14,7,2,229,161,108,106,38
2015,부산광역시청,9,0,8,0,5,103,69,72,27,11
2015,대구광역시청,1,0,7,0,2,38,28,40,11,3
2015,인천광역시청,8,0,6,0,0,62,35,40,24,5
2015,광주광역시청,1,0,0,1,3,19,23,23,4,7
2015,대전광역시청,3,0,0,0,2,16,16,25,11,3
2015,울산광역시청,2,0,3,0,0,15,7,29,3,3
2015,세종특별자치시,0,0,0,0,0,0,0,4,0,0
2015,경기도청,21,0,45,8,6,104,75,200,71,77
2015,강원도청,5,0,4,0,2,17,15,29,13,5
2015,충청북도청,1,0,11,0,1,17,9,27,7,10
2015,충청남도청,4,0,11,0,1,21,12,29,30,12
2015,전라북도청,7,0,8,0,0,18,11,33,7,6
2015,전라남도청,8,4,7,0,0,12,11,57,8,5
2015,경상북도청,9,0,11,0,2,28,17,51,9,0
2015,경상남도청,7,0,4,1,2,28,46,48,16,23
2015,제주특별자치도청,10,0,14,0,0,22,5,16,0,5
2016,서울특별시청,15,0,14,3,2,175,134,96,106,40
2016,부산광역시청,3,0,11,1,2,74,60,91,27,8
2016,대구광역시청,5,0,5,0,0,46,23,29,12,1
2016,인천광역시청,8,0,7,0,1,49,16,61,16,17
2016,광주광역시청,3,0,4,0,0,7,17,37,6,3
2016,대전광역시청,3,0,4,0,0,24,23,41,5,5
2016,울산광역시청,3,0,3,0,0,17,16,22,3,4
2016,세종특별자치시,0,0,1,0,0,0,0,3,0,0
2016,경기도청,40,2,42,5,3,76,55,212,53,109
2016,강원도청,1,0,4,0,1,26,22,17,7,4
2016,충청북도청,4,0,9,0,0,13,9,37,11,13
2016,충청남도청,6,0,7,0,1,12,13,28,36,16
2016,전라북도청,3,0,12,0,0,19,10,30,6,5
2016,전라남도청,5,2,15,0,0,16,10,37,7,5
2016,경상북도청,8,0,14,0,3,32,10,71,19,0
2016,경상남도청,10,0,14,0,1,31,37,55,16,15
2016,제주특별자치도청,4,0,6,0,0,27,8,15,5,0
2017,서울특별시청,22,0,16,7,0,170,107,109,78,29
2017,부산광역시청,4,0,7,2,1,88,41,86,24,10
2017,대구광역시청,7,0,8,0,1,46,12,35,17,4
2017,인천광역시청,6,0,7,0,0,46,28,58,18,13
2017,광주광역시청,4,0,4,0,0,22,14,36,9,8
2017,대전광역시청,3,0,3,0,1,24,12,28,8,4
2017,울산광역시청,3,0,0,0,0,15,15,30,6,4
2017,세종특별자치시,1,0,0,0,0,1,1,10,0,0
2017,경기도청,38,5,36,13,4,82,67,214,50,77
2017,강원도청,3,0,11,0,2,20,14,23,13,5
2017,충청북도청,7,0,7,0,0,16,8,32,6,13
2017,충청남도청,5,0,11,0,2,17,12,25,10,11
2017,전라북도청,3,0,13,0,0,21,17,30,3,8
2017,전라남도청,14,2,8,0,0,11,17,56,10,4
2017,경상북도청,8,0,12,0,0,36,8,63,16,0
2017,경상남도청,12,0,15,0,0,24,36,41,14,14
2017,제주특별자치도청,7,0,12,0,0,24,6,20,8,6
2018,서울특별시청,10,0,11,5,0,192,87,98,78,31
2018,부산광역시청,5,0,7,1,0,106,45,73,17,4
2018,대구광역시청,10,0,8,0,0,50,24,44,11,2
2018,인천광역시청,5,0,2,0,0,46,28,51,19,9
2018,광주광역시청,3,0,4,0,0,19,16,34,9,7
2018,대전광역시청,3,0,2,0,0,16,15,26,4,5
2018,울산광역시청,1,0,4,0,0,13,12,20,5,2
2018,세종특별자치시,1,0,1,0,0,1,1,2,0,0
2018,경기도청,25,0,34,5,1,83,57,213,47,78
2018,강원도청,0,0,4,0,1,17,13,24,13,5
2018,충청북도청,10,0,6,0,2,19,16,43,11,9
2018,충청남도청,8,0,14,0,0,12,11,46,22,16
2018,전라북도청,5,0,11,0,1,18,14,30,2,11
2018,전라남도청,10,3,7,0,0,21,15,46,6,5
2018,경상북도청,5,0,6,0,2,16,16,69,11,1
2018,경상남도청,5,0,7,1,0,26,20,35,15,10
2018,제주특별자치도청,9,0,16,0,0,20,9,18,4,0
2019,서울특별시청,15,0,20,6,3,188,74,101,87,24
2019,부산광역시청,11,0,5,1,0,101,29,86,18,3
2019,대구광역시청,5,0,3,0,0,37,14,28,17,4
2019,인천광역시청,12,0,7,0,0,33,29,57,15,7
2019,광주광역시청,6,0,1,0,0,21,17,40,6,7
2019,대전광역시청,4,0,1,0,0,14,12,32,6,4
2019,울산광역시청,4,0,7,0,0,15,8,23,11,1
2019,세종특별자치시,2,0,0,0,0,0,0,2,0,0
2019,경기도청,31,1,39,14,1,85,50,187,38,60
2019,강원도청,4,1,3,0,1,24,11,20,13,9
2019,충청북도청,4,0,6,0,0,11,8,33,12,8
2019,충청남도청,8,0,6,0,0,15,14,34,20,16
2019,전라북도청,3,0,7,0,0,21,8,15,6,3
2019,전라남도청,8,2,4,0,0,11,14,46,17,6
2019,경상북도청,7,0,13,0,2,36,20,80,18,9
2019,경상남도청,2,0,13,0,2,40,37,57,15,18
2019,제주특별자치도청,2,0,8,0,0,17,10,11,3,3
2020,서울특별시청,21,0,12,1,4,214,74,94,114,32
2020,부산광역시청,9,0,10,1,1,77,37,62,30,8
2020,대구광역시청,7,0,5,0,0,48,20,32,27,11
2020,인천광역시청,8,0,7,1,0,34,22,85,29,7
2020,광주광역시청,2,0,1,1,3,16,10,28,10,4
2020,대전광역시청,3,0,6,0,1,16,19,14,12,6
2020,울산광역시청,5,0,2,0,0,8,7,23,5,7
2020,세종특별자치시,0,0,1,0,0,0,0,2,0,0
2020,경기도청,35,2,42,7,1,93,38,209,42,66
2020,강원도청,3,0,5,0,0,22,12,19,11,6
2020,충청북도청,3,0,6,0,0,21,12,22,16,11
2020,충청남도청,8,0,7,0,0,18,17,32,19,19
2020,전라북도청,1,0,15,0,2,21,15,30,7,8
2020,전라남도청,4,0,6,0,0,13,12,35,20,1
2020,경상북도청,6,0,13,0,3,29,10,59,7,1
2020,경상남도청,9,1,13,0,1,41,25,66,16,19
2020,제주특별자치도청,5,0,6,0,0,19,7,15,5,4
2021,서울특별시청,16,0,4,7,1,245,93,72,85,43
2021,부산광역시청,5,0,6,1,1,103,34,96,20,9
2021,대구광역시청,2,0,3,0,0,46,14,23,20,9
2021,인천광역시청,5,0,5,0,0,57,20,64,19,6
2021,광주광역시청,5,0,3,0,1,17,7,25,7,6
2021,대전광역시청,6,0,5,0,0,16,12,23,9,4
2021,울산광역시청,3,0,5,0,0,10,6,24,14,4
2021,세종특별자치시,2,0,0,0,0,1,0,3,0,0
2021,경기도청,25,3,31,7,0,115,41,221,34,75
2021,강원도청,2,0,2,0,2,26,9,14,12,7
2021,충청북도청,6,0,7,0,1,19,7,22,15,12
2021,충청남도청,7,0,8,1,0,22,6,36,18,19
2021,전라북도청,3,0,8,0,1,27,6,24,8,9
2021,전라남도청,5,1,3,0,0,14,12,42,11,11
2021,경상북도청,7,0,7,0,1,30,19,58,11,2
2021,경상남도청,8,0,4,0,1,47,27,51,17,12
2021,제주특별자치도청,5,0,9,0,0,17,5,13,4,4
2022,서울특별시청,14,0,7,3,4,256,102,119,130,40
2022,부산광역시청,5,0,7,4,1,99,29,83,23,14
2022,대구광역시청,7,0,3,0,0,63,14,44,20,19
2022,인천광역시청,5,0,5,0,0,63,17,71,34,17
2022,광주광역시청,3,0,0,0,1,21,12,38,14,6
2022,대전광역시청,3,0,1,0,0,22,14,29,12,9
2022,울산광역시청,4,0,2,0,0,14,11,20,13,3
2022,세종특별자치시,2,0,0,0,0,2,0,3,0,0
2022,경기도청,18,2,44,8,2,114,51,201,73,86
2022,강원도청,5,0,5,0,0,17,14,16,10,12
2022,충청북도청,1,0,9,0,0,17,13,35,18,15
2022,충청남도청,2,0,8,0,1,17,16,33,35,15
2022,전라북도청,5,0,8,1,0,23,12,32,9,11
2022,전라남도청,6,2,6,0,0,13,15,43,20,9
2022,경상북도청,4,0,7,0,2,35,16,73,14,4
2022,경상남도청,4,0,12,0,0,40,26,58,17,25
2022,제주특별자치도청,4,0,10,0,0,13,7,17,4,4
